name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York City,1/11/2022,-3.9,-8.9,-7.3,-6.9,-17.8,-12.9,-18.5,40.8,0.0,0,0.0,snow,0.0,0.0,53.6,35.3,307.6,1031.0,10.7,15.5,115.1,10.1,5,10.0,2022-01-11T07:19:23,2022-01-11T16:48:59,0.29,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York City,1/16/2022,1.8,-12.0,-6.3,-4.0,-18.7,-11.9,-12.0,64.9,5.546,100,16.67,"rain,freezingrain,snow",0.4,0.0,40.7,29.3,45.3,1024.6,57.0,13.6,64.7,5.6,4,10.0,2022-01-16T07:17:35,2022-01-16T16:54:30,0.46,"Snow, Rain, Freezing Drizzle/Freezing Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York City,1/17/2022,6.8,1.4,3.6,3.9,-4.0,-0.7,-0.4,75.8,26.429,100,41.67,"rain,snow",0.3,0.0,56.8,34.9,235.7,989.9,98.7,12.4,17.9,1.6,1,10.0,2022-01-17T07:17:07,2022-01-17T16:55:38,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72505394728,KLGA,KNYC,F1417,72503014732"
New York City,1/20/2022,7.5,-4.2,2.1,5.7,-10.0,-1.5,-5.2,61.3,6.116,100,37.5,"rain,snow",1.0,0.0,42.5,22.3,323.3,1020.3,69.8,12.6,37.3,3.1,2,10.0,2022-01-20T07:15:29,2022-01-20T16:59:09,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KLGA,KNYC,F1417,72503014732"
New York City,1/21/2022,-5.0,-9.8,-7.5,-8.3,-17.6,-13.6,-18.0,42.7,0.0,0,0.0,snow,0.0,0.0,42.5,21.9,7.0,1033.1,22.6,16.0,112.7,9.6,5,10.0,2022-01-21T07:14:52,2022-01-21T17:00:20,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York City,1/23/2022,2.5,-4.1,-1.0,2.2,-9.0,-4.5,-11.8,45.4,0.52,100,12.5,"rain,snow",0.0,0.0,34.2,20.5,249.5,1012.6,72.5,14.6,101.2,8.6,5,10.0,2022-01-23T07:13:33,2022-01-23T17:02:44,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York City,1/28/2022,0.2,-1.5,-0.5,0.2,-6.7,-3.2,-6.3,67.2,1.702,100,29.17,"rain,snow",6.5,2.2,34.9,21.0,10.4,1019.5,100.0,8.1,29.5,2.4,1,10.0,2022-01-28T07:09:40,2022-01-28T17:08:50,0.88,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York City,1/29/2022,-1.5,-10.2,-7.0,-6.5,-19.3,-14.7,-12.3,69.2,15.831,100,66.67,snow,6.0,10.5,50.9,29.7,329.3,1006.4,91.8,6.0,22.5,2.0,1,10.0,2022-01-29T07:08:48,2022-01-29T17:10:04,0.91,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York City,1/30/2022,-3.3,-10.7,-7.2,-8.2,-20.3,-13.2,-17.1,45.5,0.0,0,0.0,snow,1.2,13.0,53.6,29.7,287.1,1015.5,12.2,16.0,139.5,12.0,6,10.0,2022-01-30T07:07:54,2022-01-30T17:11:18,0.95,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York City,2/2/2022,8.3,1.1,4.1,8.3,-2.0,2.0,1.3,81.9,0.0,0,0.0,rain,0.0,2.2,63.0,14.4,48.8,1030.6,78.8,14.0,86.0,7.3,4,10.0,2022-02-02T07:05:02,2022-02-02T17:15:01,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,2/3/2022,10.0,5.1,7.0,10.0,3.4,6.1,6.0,93.5,5.507,100,70.83,rain,0.0,0.9,25.9,11.0,256.7,1023.5,100.0,8.6,21.4,2.0,1,10.0,2022-02-03T07:04:01,2022-02-03T17:16:15,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,2/4/2022,12.9,-1.2,5.1,12.9,-4.0,3.4,3.6,89.9,11.903,100,79.17,"rain,freezingrain,snow,ice",1.5,0.7,43.2,19.9,337.4,1013.3,100.0,12.7,15.8,1.4,1,10.0,2022-02-04T07:02:59,2022-02-04T17:17:30,0.11,"Snow, Rain, Freezing Drizzle/Freezing Rain, Ice, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,2/5/2022,0.4,-5.2,-2.8,0.4,-9.2,-5.1,-9.3,62.1,0.0,0,0.0,snow,0.0,2.4,44.6,11.8,315.8,1024.9,57.4,15.9,151.0,12.8,6,10.0,2022-02-05T07:01:55,2022-02-05T17:18:44,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/7/2022,3.8,0.5,2.3,3.8,-3.2,-0.3,0.2,86.6,0.384,100,37.5,"rain,freezingrain,snow",0.4,0.1,25.2,16.6,50.8,1025.1,100.0,11.1,29.0,2.4,1,10.0,2022-02-07T06:59:42,2022-02-07T17:21:13,0.21,"Snow, Rain, Freezing Drizzle/Freezing Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,2/8/2022,8.7,0.7,3.9,7.2,-3.2,1.6,-1.6,69.1,0.128,100,12.5,rain,0.0,0.1,66.0,16.6,269.7,1014.4,48.6,15.8,119.9,10.4,6,10.0,2022-02-08T06:58:34,2022-02-08T17:22:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/10/2022,12.0,3.8,7.4,12.0,1.7,6.4,-1.7,55.9,0.0,0,0.0,freezingrain,0.0,0.0,48.4,35.1,264.0,1012.2,33.0,16.0,137.0,11.9,6,10.0,2022-02-10T06:56:12,2022-02-10T17:24:54,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/12/2022,13.9,6.7,11.1,13.9,4.2,10.7,-1.6,41.7,0.0,0,0.0,rain,0.0,0.2,42.7,29.6,267.2,1014.4,11.5,16.0,119.2,10.2,5,10.0,2022-02-12T06:53:45,2022-02-12T17:27:21,0.37,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/13/2022,6.1,-1.8,1.3,5.2,-5.8,-1.8,-2.9,75.4,1.173,100,41.67,"rain,snow",2.2,0.9,33.5,16.4,40.5,1019.9,100.0,9.8,30.3,2.5,1,10.0,2022-02-13T06:52:29,2022-02-13T17:28:34,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,2/15/2022,1.0,-7.2,-3.4,-2.0,-12.8,-7.6,-13.8,45.8,0.23,100,4.17,"rain,snow",0.1,0.4,64.8,20.0,262.8,1037.0,0.2,16.0,175.5,15.1,7,10.0,2022-02-15T06:49:55,2022-02-15T17:30:59,0.47,"Snow, Rain",Clear conditions throughout the day with afternoon rain or snow.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/17/2022,17.8,8.9,13.1,17.8,6.2,12.7,6.9,66.4,3.33,100,8.33,rain,0.0,1.0,54.4,24.0,241.2,1019.5,74.7,16.0,118.3,10.2,5,10.0,2022-02-17T06:47:15,2022-02-17T17:33:24,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/18/2022,15.7,-0.7,7.9,15.7,-4.8,6.5,-0.5,58.6,7.421,100,25.0,rain,0.0,0.0,56.3,30.7,269.9,1007.4,48.5,16.0,168.0,14.5,7,10.0,2022-02-18T06:45:54,2022-02-18T17:34:36,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,C9476,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/19/2022,5.6,-2.9,0.3,1.2,-6.2,-3.3,-9.2,49.8,0.0,0,0.0,snow,0.0,0.0,69.6,25.9,257.3,1017.5,25.8,15.8,103.3,8.8,5,10.0,2022-02-19T06:44:31,2022-02-19T17:35:47,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/22/2022,13.9,3.8,8.7,13.9,-0.4,7.1,6.4,86.1,1.563,100,33.33,"rain,freezingrain",0.0,0.0,55.4,25.1,42.4,1023.1,66.2,12.9,71.9,6.2,6,10.0,2022-02-22T06:40:17,2022-02-22T17:39:20,0.71,"Rain, Freezing Drizzle/Freezing Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,2/23/2022,19.4,3.8,13.8,19.4,1.2,13.6,7.1,66.5,0.0,0,0.0,rain,0.0,0.0,74.0,22.6,269.4,1016.0,44.9,16.0,88.4,7.6,5,10.0,2022-02-23T06:38:50,2022-02-23T17:40:30,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/24/2022,2.8,-0.1,1.0,1.0,-4.0,-2.4,-9.3,46.3,0.0,0,0.0,"freezingrain,snow,ice",0.0,0.0,46.4,20.0,31.2,1030.6,57.3,16.0,70.0,6.1,3,10.0,2022-02-24T06:37:23,2022-02-24T17:41:40,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/25/2022,6.1,-1.7,1.7,4.3,-6.2,-2.0,-2.3,76.4,10.969,100,50.0,"rain,freezingrain,ice",1.7,0.0,79.0,27.1,8.9,1020.8,78.5,12.8,56.7,4.8,5,10.0,2022-02-25T06:35:54,2022-02-25T17:42:50,0.82,"Rain, Freezing Drizzle/Freezing Rain, Ice, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,2/27/2022,9.3,-1.4,3.4,6.5,-6.8,-0.5,-7.4,47.3,0.699,100,4.17,"rain,snow",0.0,0.0,47.4,34.6,265.8,1017.0,15.6,16.0,199.3,17.2,7,10.0,2022-02-27T06:32:55,2022-02-27T17:45:08,0.89,"Snow, Rain",Clear conditions throughout the day with afternoon rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,2/28/2022,4.2,-1.3,1.2,2.4,-5.2,-1.5,-11.8,39.1,0.0,0,0.0,snow,0.0,0.0,70.6,14.9,307.5,1024.1,14.7,16.0,209.5,18.1,8,10.0,2022-02-28T06:31:24,2022-02-28T17:46:17,0.93,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/2/2022,12.1,5.0,7.9,12.1,3.1,6.8,-1.2,55.0,0.0,0,0.0,rain,0.0,0.0,68.4,16.3,261.2,1015.0,27.4,16.0,202.8,17.7,7,10.0,2022-03-02T06:28:21,2022-03-02T17:48:33,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/3/2022,7.1,-3.2,4.6,5.5,-9.6,2.2,-6.8,46.5,0.501,100,12.5,rain,0.0,0.0,52.6,22.5,286.2,1018.1,30.6,16.0,212.8,18.6,8,10.0,2022-03-03T06:26:48,2022-03-03T17:49:41,0.03,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/5/2022,7.8,0.7,4.1,7.0,-2.3,2.3,-5.2,51.7,0.0,0,0.0,rain,0.0,0.0,31.7,16.4,190.9,1031.8,18.5,16.0,141.6,12.3,5,10.0,2022-03-05T06:23:40,2022-03-05T17:51:56,0.1,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/6/2022,19.2,6.1,12.5,19.2,4.1,11.8,8.5,76.8,0.763,100,12.5,rain,0.0,0.0,44.6,28.7,268.6,1017.5,67.4,15.8,69.8,6.1,4,10.0,2022-03-06T06:22:05,2022-03-06T17:53:03,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/7/2022,20.8,14.1,17.9,20.8,14.1,17.9,11.0,64.1,0.527,100,12.5,rain,0.0,0.0,64.0,35.9,260.3,1007.1,43.2,16.0,91.7,7.9,4,10.0,2022-03-07T06:20:30,2022-03-07T17:54:10,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/8/2022,11.6,5.0,7.3,11.6,2.5,5.7,-5.7,39.9,0.23,100,4.17,rain,0.0,0.0,85.0,16.2,299.4,1017.6,23.3,16.0,199.7,17.4,7,10.0,2022-03-08T06:18:54,2022-03-08T17:55:16,0.19,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/9/2022,5.6,2.1,3.5,5.0,-2.8,0.4,-0.2,78.6,6.178,100,54.17,"rain,snow,ice",3.0,0.0,33.5,22.0,46.4,1017.7,82.6,12.7,20.8,1.7,1,10.0,2022-03-09T06:17:18,2022-03-09T17:56:22,0.22,"Snow, Rain, Ice, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/11/2022,12.2,3.4,7.3,12.2,2.2,6.2,-0.8,59.1,0.23,100,4.17,rain,0.0,0.0,68.4,14.7,180.2,1017.7,21.8,16.0,218.1,18.7,8,10.0,2022-03-11T06:14:04,2022-03-11T17:58:34,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,3/12/2022,8.3,-3.4,2.9,8.3,-7.5,0.7,-0.7,78.6,3.243,100,33.33,"rain,snow,ice",4.6,0.1,66.3,33.7,292.5,999.1,97.0,12.4,34.6,2.9,2,10.0,2022-03-12T06:12:27,2022-03-12T17:59:39,0.32,"Snow, Rain, Ice, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/13/2022,2.1,-4.4,-1.4,-3.0,-11.2,-6.7,-10.3,52.0,0.0,0,0.0,"rain,snow",0.7,0.1,70.4,30.6,263.1,1020.6,42.6,15.8,220.6,18.4,8,10.0,2022-03-13T07:10:49,2022-03-13T19:00:45,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/15/2022,18.9,6.8,12.0,18.9,4.9,11.2,0.7,47.2,0.0,0,0.0,rain,0.0,0.0,83.2,16.4,250.1,1023.4,17.2,15.9,217.4,18.7,8,10.0,2022-03-15T07:07:33,2022-03-15T19:02:55,0.42,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/17/2022,11.7,7.2,9.5,11.7,3.8,8.0,8.0,90.0,0.464,100,25.0,rain,0.0,0.0,35.3,26.6,37.6,1016.9,87.9,9.5,40.5,3.4,3,10.0,2022-03-17T07:04:15,2022-03-17T19:05:04,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,3/18/2022,21.7,9.4,13.3,21.7,7.9,13.2,9.7,80.8,0.23,100,4.17,rain,0.0,0.0,29.5,14.3,223.9,1015.6,48.0,11.7,214.8,18.6,8,10.0,2022-03-18T07:02:36,2022-03-18T19:06:08,0.5,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,3/19/2022,19.9,8.9,14.0,19.9,6.4,13.7,10.3,79.7,2.649,100,8.33,rain,0.0,0.0,45.0,16.3,48.6,1010.1,66.0,13.4,171.8,14.7,6,10.0,2022-03-19T07:00:57,2022-03-19T19:07:12,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/20/2022,14.0,8.3,12.3,14.0,6.6,12.1,5.0,61.9,0.249,100,4.17,rain,0.0,0.0,58.6,23.6,273.3,1008.8,77.1,16.0,103.8,9.1,5,10.0,2022-03-20T06:59:18,2022-03-20T19:08:16,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,3/21/2022,18.2,7.2,11.8,18.2,5.8,11.4,-2.5,39.3,0.929,100,12.5,rain,0.0,0.0,83.2,18.6,283.3,1017.4,9.1,16.0,246.4,21.3,8,10.0,2022-03-21T06:57:38,2022-03-21T19:09:20,0.62,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,3/23/2022,8.9,5.0,6.8,7.8,1.0,3.7,-4.2,46.7,0.019,100,8.33,rain,0.0,0.0,41.8,28.5,55.6,1023.6,40.4,15.9,113.5,9.7,7,10.0,2022-03-23T06:54:19,2022-03-23T19:11:27,0.69,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,3/24/2022,8.3,4.9,6.4,5.3,0.2,2.3,5.0,90.7,6.051,100,41.67,rain,0.0,0.0,48.4,35.1,35.2,1013.1,100.0,9.8,29.0,2.4,1,10.0,2022-03-24T06:52:40,2022-03-24T19:12:31,0.73,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,3/25/2022,13.9,7.2,10.2,13.9,4.5,9.6,4.4,69.9,0.662,100,16.67,rain,0.0,0.0,45.7,28.7,271.0,1003.4,71.4,15.2,160.3,13.9,9,10.0,2022-03-25T06:51:00,2022-03-25T19:13:34,0.75,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,3/26/2022,11.6,7.2,9.7,11.6,3.8,8.2,0.5,53.5,0.063,100,20.83,rain,0.0,0.0,47.9,22.9,267.0,998.9,87.1,15.9,141.9,12.3,7,10.0,2022-03-26T06:49:21,2022-03-26T19:14:37,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,3/27/2022,8.3,1.1,5.1,7.1,-2.5,2.4,-3.4,54.7,0.0,0,0.0,"rain,snow",0.0,0.0,51.4,29.3,275.1,1004.0,77.5,16.0,124.0,10.6,5,10.0,2022-03-27T06:47:42,2022-03-27T19:15:41,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,3/28/2022,1.5,-3.7,-1.1,-1.1,-10.4,-4.7,-12.6,42.4,1.168,100,8.33,"rain,snow",0.0,0.3,69.1,24.5,290.8,1013.2,45.5,16.0,223.2,19.1,9,10.0,2022-03-28T06:46:03,2022-03-28T19:16:44,0.87,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/29/2022,3.7,-2.9,0.2,1.0,-9.8,-3.4,-11.7,42.0,0.23,100,4.17,"rain,snow",0.0,0.2,67.0,29.3,301.7,1020.3,47.8,15.8,219.7,19.0,8,10.0,2022-03-29T06:44:24,2022-03-29T19:17:47,0.91,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,3/31/2022,18.0,6.7,12.8,18.0,4.9,12.5,8.6,76.2,0.0,0,0.0,rain,0.0,0.1,57.2,19.9,155.1,1006.0,96.9,12.5,94.5,8.2,4,10.0,2022-03-31T06:41:06,2022-03-31T19:19:53,0.98,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York City,4/1/2022,16.8,7.2,11.8,16.8,3.3,10.9,3.5,59.8,7.637,100,29.17,rain,0.0,0.0,53.2,29.7,278.6,1002.2,91.0,15.4,156.5,13.4,10,10.0,2022-04-01T06:39:28,2022-04-01T19:20:56,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York City,4/3/2022,8.0,5.7,7.1,8.0,1.9,5.7,1.8,69.4,2.306,100,16.67,rain,0.0,0.0,47.7,22.9,316.2,1010.0,70.1,15.3,56.4,4.9,2,10.0,2022-04-03T06:36:12,2022-04-03T19:23:01,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York City,4/5/2022,13.2,7.5,9.8,13.2,6.4,9.3,-1.0,48.7,0.444,100,4.17,rain,0.0,0.0,26.3,18.4,125.2,1017.0,86.1,15.5,111.6,9.7,6,10.0,2022-04-05T06:32:57,2022-04-05T19:25:07,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York City,4/6/2022,11.2,6.7,8.8,11.2,2.9,6.3,7.0,88.5,6.828,100,54.17,rain,0.0,0.0,53.6,33.0,44.0,1010.4,100.0,13.5,58.2,5.1,3,10.0,2022-04-06T06:31:20,2022-04-06T19:26:10,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,4/7/2022,11.2,7.9,9.4,11.2,4.3,7.5,7.6,88.4,7.407,100,45.83,rain,0.0,0.0,61.2,33.6,62.0,1007.9,100.0,12.1,18.5,1.6,1,10.0,2022-04-07T06:29:44,2022-04-07T19:27:13,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,4/8/2022,17.2,9.4,13.0,17.2,8.2,12.8,4.5,62.1,0.446,100,16.67,rain,0.0,0.0,42.5,22.1,261.9,1002.6,48.3,14.6,262.4,22.6,8,10.0,2022-04-08T06:28:08,2022-04-08T19:28:16,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,4/9/2022,13.3,8.4,10.5,13.3,6.6,10.1,4.1,65.2,1.467,100,29.17,rain,0.0,0.0,50.0,27.3,262.2,1004.1,81.0,15.8,169.0,14.6,7,10.0,2022-04-09T06:26:33,2022-04-09T19:29:18,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
