Property Id,Property Name,Year Ending,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Address 1,City,Postal Code,ENERGY STAR Score,National Median ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Electricity Intensity (kWh/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu)
21205224,Astoria Blvd Property,12/31/2021,4006520042,4538607,36-16 Astoria Blvd.,Long Island City,11103,71,50,66.7,70.4,76.1,1666390.8,1758894.6,7,112.3,115.4,128.1,2806470.4,2885158.1,603862.9,176982.1,173893.6,176982.1,603862.9
2665352,Stellar - 70 West 93rd Street,12/31/2021,1-01206-0001,1031627,70 West 93rd Street,New York,10025,100,50,19.2,19.2,45.5,5022480.9,5022480.9,4.7,48.2,48.2,114.3,12615136.7,12615136.7,4195161,1229531.2,1229531.2,1229531,4195159.8
2665400,Stellar - 28-50 West 97th Street,12/31/2021,1-01832-0043,1055265,28-50 West 97th Street,New York,10025,84,50,66.9,72,87.1,22315905.8,23986513.6,3.9,93.3,98.6,121.4,31096872.8,32851011,4380098.1,1283733.2,1283733.2,1283733,4380097
2665405,Stellar - 310 Greenwich St,12/31/2021,1-00142-0025,1083157;1083235;1083237;1083240;1083241;1083243;1083705;1808800;1086183;1083239;1086184,310 Greenwich Street / 40 Harrison Street,New York,10013,3,50,113.8,121.1,70.5,126690147.9,134732083.7,6.7,161.3,167.3,100,179551334.7,186163956.3,26604977.3,7797471.9,7490754.3,7797473,26604977.9
2665415,Stellar - 87 Hamilton Place,12/31/2021,1-02072-0039,1061772,87 Hamilton Place,New York,10031,24,50,114.6,Not Available,96,8329013.8,Not Available,Not Available,151.8,Not Available,127.1,11028506.7,Not Available,1304595.6,382355,Not Available,382355.1,1304595.6
2665418,Stellar - 3458-68 Broadway,12/31/2021,1-02073-0001,1061777,3458-68 Broadway,New York,10031,57,50,93.3,Not Available,98.2,9244444.7,Not Available,Not Available,128.2,Not Available,134.9,12701523.7,Not Available,1711346.7,501567,Not Available,501567,1711346.6
2665431,Stellar - 3513-15 Broadway,12/31/2021,1-02090-0036,1062362,3513-15 Broadway,New York,10031,54,50,101,109,103.9,9006419.3,9721541.6,5.8,141.3,148.8,145.3,12600228,13272311.4,1796278.7,526459.1,513262.8,526459.2,1796278.8
2665443,Stellar - 1061 St. Nicholas Ave,12/31/2021,1-02122-0120,1062938,1061 St. Nicholas Avenue,New York,10032,42,50,118.4,127.4,112.8,6207689.1,6677696,4.7,152.9,161.9,145.7,8018184.4,8487140.4,857206.2,251232.7,247121,251232.8,857206.3
2665447,Stellar - 65 Ft. Washington Ave,12/31/2021,1-02136-0145,1063332,65 Ft. Washington Avenue,New York,10032,75,50,91.3,98,110.2,6595081.3,7077687.1,3.6,118.5,124.4,143,8559389.7,8986815,934031,273748.8,260466.2,273748.8,934030.9
2665452,Stellar - 105 Haven Avenue,12/31/2021,1-02139-0187,1063418,105 Haven Avenue,New York,10032,65,50,86.4,92.5,95.7,5060392.3,5420045,3.7,113.9,119.3,126.1,6669673.3,6990503.1,775006.5,227141.4,217627.8,227141.4,775006.5
2665462,Stellar - 1301-13 St. Nicholas Ave,12/31/2021,1-02144-0061,1063555,1301-13 St. Nicholas Avenue,New York,10033,9,50,130.1,Not Available,90.9,9835551.9,Not Available,8.1,186.3,Not Available,130.2,14082870.9,Not Available,2146023.7,628963.5,615447.8,628963.6,2146023.8
2665463,Stellar - 4241-47 Broadway,12/31/2021,1-02176-0138,1064282,4241-47 Broadway,New York,10033,16,50,125.3,129.6,96,9166526.2,9479681,7.7,178.7,182,136.9,13070381.6,13313812.8,1968873.8,577043.8,562744.5,577043.9,1968873.8
2665466,Stellar - 4231-39 Broadway,12/31/2021,1-02176-0050,1064269,4231-39 Broadway,New York,10033,42,50,73.4,Not Available,69.5,5017731.1,Not Available,8.5,129.1,Not Available,122.4,8830219.2,Not Available,2035200.8,596483.2,583198,596483.2,2035200.7
2665471,Stellar - 117-23 Dyckman Street,12/31/2021,1-02217-0001,1064707,117-23 Dyckman Street,New York,10040,18,50,95.5,95.5,75.8,6732998.3,6732998.3,7.7,146,146,115.9,10293497.7,10293497.7,1842199.7,539917.8,539917.8,539917.9,1842199.9
2665472,Stellar - 118-28 Vermilyea Ave,12/31/2021,1-02235-0029,1064919,118-28 Vermilyea Avenue,New York,10034,4,50,128,133.6,81.2,7851498.2,8192700.2,8.4,187.8,190.4,119.2,11521733,11680650.2,1872948.5,548929.7,515544.2,548929.8,1872948.5
2665474,Stellar - 106-16 Vermilyea Ave,12/31/2021,1-02235-0035,1064920,106-16 Vermilyea Avenue,New York,10034,Not Available,50,Not Available,Not Available,59.6,Not Available,Not Available,Not Available,Not Available,Not Available,118.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2665482,Stellar - 701 West 177th Street,12/31/2021,1-02176-0074,1064272,701 West 177th Street,New York,10033,5,50,163.1,168.6,108,12233555.4,12646394,12,244,248.5,161.6,18298798.2,18634817.5,3116322.9,913341.9,897019.4,913342,3116322.9
2665494,Stellar - 1795 Riverside Drive,12/31/2021,1-02246-0125,1065054,1795 Riverside Drive,New York,10034,60,50,79.3,83.6,84.9,6783171.4,7155739.1,4.8,110.2,113.6,118.1,9432990.9,9724050.2,1436919.7,421137,407163.8,421137.1,1436919.8
2665497,Stellar - 236 East 13th Street,12/31/2021,1-00468-0027,1083490;1077725;1077726,236 East 13th Street,New York,10003,89,50,84.1,91.1,117.3,4714451,5109638.1,4.5,115.7,122.3,161.5,6487700.4,6857116.6,878586.8,257499,249873.8,257499.1,878586.9
2665508,Stellar - 44-50 West 28th St,12/31/2021,1-00829-0068,1015707,44-50 West 28th Street,New York,10001,90,50,56.4,60.6,116.6,7993855.2,8601290.2,7.4,104.5,108,216.3,14825974,15312810.1,3675672.1,1077277.7,1051993.7,1077278,3675672.5
2665524,Stellar - 223 2nd Avenue,12/31/2021,1-00469-0030,1006906;1802135;1809152,223 2nd Avenue,NY,10003,34,50,105,105,93.7,6742812.1,6742812.1,9.5,166.3,166.3,148.4,10680504,10680504,2089632.2,612436.1,612436.1,612436.2,2089632.3
2665536,Stellar - 119-21 West 23rd Street,12/31/2021,1-00799-0028,1014952,119-21 West 23rd Street,New York,10011,77,50,71.6,77.7,107.1,7072087.3,7676605.1,7.5,118,124.2,176.5,11655452.9,12266015.9,2520925,738840.8,738840.8,738840.9,2520925.2
