Property Id,Property Name,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Address 1,City,Postal Code,ENERGY STAR Score,National Median ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Electricity Intensity (kWh/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh)
20566009,317 West 87th Street,1-01249-0022,1033968,317 West 87th Street,New York,10024,48,50,86.0,90.0,85.1,3806698.9,3982425.3,4.5,115.6,118.6,114.4,5114937.5,5249650.5,708203.3,207562.5,200519.1,207562.5
21294043,AKAM - 46 West 83rd Street,1-01196-0052,1031196,46 West 83rd Street,New York,10024,91,50,64.6,69.6,93.3,3681737.2,3963160.3,4.0,90.5,94.6,130.6,5151678.3,5386479.7,798820.0,234120.7,226026.4,234120.8
4952304,AKAM - 250 West 89th Street,1-01236-7501,1071151,250 West 89th Street,New York,10024,47,50,76.0,81.2,74.9,12533051.0,13379098.5,6.2,116.6,120.0,114.8,19215438.3,19779827.5,3658668.9,1072294.4,1024773.3,1072295.0
6896695,935 Kelly Street,2-02703-0018,2005453,935 Kelly Street,Bronx,10459,89,50,43.4,42.6,61.0,1288762.6,1265829.4,9.4,103.6,100.8,145.7,3076202.5,2993483.9,984572.4,288561.6,278741.1,288561.7
4407515,SW - 83-09 35th Avenue,4-01444-0032,4035531,83-09 35th Avenue,Queens,11372,4,50,141.2,151.3,91.8,7972344.9,8537848.4,3.5,169.4,179.3,110.2,9562352.3,10121522.5,694989.9,203689.9,197893.8,203689.9
20662117,DEPM 1658 - 130 West 12th Street,1-00607-7502,1088864,130 West 12th Street,New York,10011,21,50,111.5,112.9,91.6,11703879.3,11857472.7,6.3,156.0,156.2,128.1,16378674.6,16401308.0,2336915.0,684910.5,661691.7,684910.6
2665599,Stellar - 288 9th Street,3-01010-0026,3022261,288 9th Street,Brooklyn,10003,6,50,148.2,160.4,101.9,24508336.5,26527905.3,4.8,185.6,197.2,127.6,30688943.5,32615597.5,2831537.2,829876.0,797403.5,829876.1
3110807,DEPM 1904 - 14 East 90th St,1-01501-0056,1046978,14 East 90th Street,New York,10128,76,50,71.1,76.0,86.7,13350731.0,14264372.2,5.2,106.5,111.0,129.9,19995689.1,20852543.1,3415669.5,1001075.3,983914.2,1001075.0
6309259,300 West End Avenue,1-01166-0001,1030718,300 West End Avenue,New York,10023,94,50,53.7,56.9,83.1,6708080.4,7112333.5,4.4,83.3,86.0,129.0,10416219.8,10744692.6,1927277.4,564852.6,548776.1,564852.7
10894165,Progressive - 922 Forbell Street,3-04571-0050,3350235,922 Forbell Street,Brooklyn,11208,52,50,75.8,78.6,77.3,3221321.8,3340505.1,5.8,114.2,116.9,116.4,4853126.3,4967687.4,840422.0,246313.6,244541.4,246313.6
4945801,AKAM - Hilltop Village 3,4-10538-0070,4434613;4434614,87-50 204th Street / 202-35 Foothill Avenue,Quuens,11427,39,50,76.9,80.6,72.0,16592298.6,17396846.5,5.3,113.0,116.3,105.9,24401085.7,25112546.6,3988098.3,1168844.6,1146517.7,1168845.0
5864818,AKAM - 510 Waverly Avenue,3-02011-0039,3057561,510 Waverly Avenue,Brooklyn,11238,33,50,74.5,79.8,63.0,5690846.6,6096572.7,11.4,146.0,151.6,123.6,11161945.7,11587958.1,2963746.7,868624.4,868624.4,868624.5
10894157,Progressive - 986 Morris Avenue,2-02432-0005,2002179,986 Morris Avenue,Bronx,10456,52,50,92.9,99.5,94.5,3169485.8,3395715.4,5.1,129.2,134.7,131.4,4408597.1,4596575.1,617506.9,180980.9,172680.3,180980.9
7530294,SW - 535 East 78th Street,1-01490-0023,1046418,535 East 78th Street,New York,10075,100,50,17.2,16.8,64.2,762412.3,747151.6,4.5,45.8,44.8,170.9,2030102.4,1987372.4,702611.1,205923.5,201450.9,205923.5
6669102,AKAM - 205 East 59th Street,1-01414-7502,1087103,205 East 59th Street,New York,10022,9,50,90.9,96.0,62.9,10717619.8,11320595.6,13.5,176.0,181.4,121.8,20760978.5,21394103.2,5432844.4,1592275.4,1592275.4,1592276.0
